                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0775,                0.78869,                 1.0843,                0.82433,                0.81989,                0.87074,                0.53951,                 1.2292,                0.84938,                 1.2339,             0.00015995,             0.00015995,             0.00015995
                     83,                 1.0817,                0.79657,                 1.0785,                0.82564,                0.80821,                0.86483,                0.53985,                 1.2404,                0.85817,                 1.2194,             0.00015234,             0.00015234,             0.00015234
                     84,                 1.0747,                0.77935,                 1.0817,                0.79773,                0.82296,                0.86568,                0.54194,                 1.2207,                0.86965,                  1.214,             0.00014473,             0.00014473,             0.00014473
                     85,                 1.0679,                0.77846,                 1.0793,                 0.8119,                0.83749,                0.87279,                 0.5519,                 1.2094,                 0.8432,                 1.2073,             0.00013711,             0.00013711,             0.00013711
                     86,                 1.0775,                0.78144,                  1.074,                0.83501,                0.80833,                 0.8706,                0.54186,                 1.2288,                0.85296,                 1.2179,              0.0001295,              0.0001295,              0.0001295
                     87,                 1.0775,                0.80747,                  1.085,                0.86031,                0.80065,                0.86365,                0.53991,                 1.2349,                 0.8631,                 1.2298,             0.00012189,             0.00012189,             0.00012189
                     88,                 1.0755,                0.77097,                 1.0798,                0.83069,                0.83904,                0.86868,                0.54326,                 1.2337,                0.83766,                  1.218,             0.00011427,             0.00011427,             0.00011427
                     89,                 1.0644,                0.75769,                 1.0707,                0.79902,                0.84464,                0.87165,                0.54928,                 1.2152,                0.82792,                 1.2071,             0.00010666,             0.00010666,             0.00010666
                     90,                 1.0575,                0.75654,                 1.0661,                0.83854,                0.84496,                0.88583,                0.55614,                 1.2243,                0.80972,                 1.2201,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     91,                  1.056,                0.75905,                 1.0883,                0.85979,                 0.7878,                0.87931,                0.52696,                 1.3261,                0.87952,                 1.2403,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     92,                 1.0396,                0.69332,                 1.0995,                0.81022,                0.84535,                0.87436,                 0.5356,                 1.2497,                0.87669,                 1.2299,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     93,                  1.001,                0.66329,                 1.0661,                 0.8512,                0.82625,                0.87648,                0.54558,                  1.229,                0.84187,                 1.2351,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     94,                 1.0118,                0.65936,                 1.0797,                0.82485,                0.84807,                0.87754,                0.54304,                  1.249,                 0.8434,                 1.2206,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     95,                0.99976,                 0.6509,                 1.0695,                0.82981,                0.84567,                0.88348,                0.54858,                  1.242,                0.83231,                 1.2254,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     96,                0.98616,                0.64307,                 1.0682,                0.84881,                0.82966,                0.88435,                0.54577,                 1.2412,                0.83539,                 1.2322,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     97,                0.99609,                0.64537,                 1.0761,                0.83374,                0.85042,                0.88256,                0.54931,                 1.2305,                0.83682,                 1.2234,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     98,                0.99618,                0.63445,                 1.0733,                0.82937,                0.84898,                0.88156,                0.53893,                 1.2758,                 0.8348,                 1.2345,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     99,                0.98095,                0.63524,                 1.0562,                0.82717,                0.83649,                0.88355,                0.55238,                 1.2323,                0.83508,                 1.2243,             3.0529e-05,             3.0529e-05,             3.0529e-05
                    100,                 0.9808,                0.63851,                 1.0681,                0.84217,                0.84283,                0.88579,                0.54713,                  1.246,                0.83351,                 1.2252,             2.2916e-05,             2.2916e-05,             2.2916e-05
